VisitorTeam,Away_FGM,Away_FGA,Away_FGPct,Away_3PM,Away_3PA,Away_3PPct,Away_FTM,Away_FTA,Away_FT_Pct ,Away_ORB,Away_DRB,Away_TRB,Away_AST,Away_TO,Away_STL,Away_BLK,Away_PF,Away_PTS.G,Season
Atlanta Hawks,35.2,78.9,44.7,7.4,20,37,19.7,26.8,73.5,10.7,28.4,39.1,18,12.1,7.5,5,20.5,97.6,2009
Boston Celtics,35.9,75.8,47.4,6.2,16.3,38.1,19.3,25.4,76.1,10.7,31.8,42.5,20.7,16,7.7,4.6,23.9,97.3,2009
Brooklyn Nets,36,79.8,45.1,8,20.9,38.2,18.3,23.5,77.8,9.8,29,38.7,19.2,12.2,6.9,4.8,22.7,98.2,2009
Charlotte Hornets,35.5,77.9,45.6,6.3,16.6,38.1,16.2,22.3,72.7,10.9,27.3,38.2,21.3,14.6,7.2,3.7,21.3,93.5,2009
Chicago Bulls,37.9,83.6,45.3,6.2,16.4,37.8,18.1,22.9,79,11.6,30,41.7,20.6,14.6,7.1,4.9,22.1,100,2009
Cleveland Cavaliers,36,78.5,45.9,8,20.6,38.9,18.1,24.7,73.5,10.8,30.8,41.6,18.7,12.2,6.6,5,21.1,98.2,2009
Dallas Mavericks,37,83.1,44.5,6.7,20.4,32.7,16.6,20.5,81.2,10.9,31.1,42,19.3,12,6.8,4.8,19.6,97.3,2009
Denver Nuggets,36.7,78.9,46.5,6.3,17.2,36.8,21.2,27.4,77.2,11,29.7,40.7,19.4,15.1,8.6,4.7,23.4,100.9,2009
Detroit Pistons,36,80.6,44.7,5.1,14,36.2,16.8,22.1,75.7,11.7,30,41.8,19.8,11,6.1,4.1,21,93.9,2009
Golden State Warriors,38,86.1,44.1,6.6,18.1,36.3,20.8,27,77.2,11.7,30.1,41.9,19.3,15,8.1,5.8,22,103.4,2009
Houston Rockets,35.5,78.8,45,7.7,20.3,37.7,18.4,23,79.9,10.1,31.1,41.2,19.4,13.7,6.3,4,19.9,97,2009
Indiana Pacers,39,85.8,45.5,7.8,21,36.8,17.7,21.5,82.3,10.8,30.8,41.6,22.3,14.4,7.4,4.3,23.5,103.4,2009
Los Angeles Clippers,36.4,82.6,44.1,6.7,18.4,36.2,16.9,22.4,75.1,10.8,29.1,40,20.4,14.5,7,5,20.3,96.3,2009
Los Angeles Lakers,40,84.5,47.3,6.3,17.8,35.6,19.6,25.2,77.9,12.1,30,42.1,21.4,12.6,8.6,4.2,20.5,105.9,2009
Memphis Grizzlies,34.4,76.6,44.9,4.7,13.3,35.1,19,25.1,75.7,10,27.9,37.9,17.3,14.7,7.7,4.2,21.8,92.5,2009
Miami Heat,36.4,81.5,44.7,6.5,19.6,33.3,16.4,21.8,75.6,10,28,38,21.5,11.2,7.4,5.4,21.7,95.8,2009
Milwaukee Bucks,35.6,81.7,43.6,6,16.8,35.7,18.6,23.9,77.8,11.5,28.5,40,19.8,14.2,7.1,3.8,24.5,95.9,2009
